Change Value of Parameter Value in Library  Old=100pF New=120pF
Change Value of Parameter Value in Part C? Old=100pF New=220pF
Change Value of Parameter Value in Part C? Old=100pF New=270pF
Change Value of Parameter Value in Part C? Old=100pF New=330pF
Change Value of Parameter Value in Part C? Old=100pF New=470pF
Change Value of Parameter Value in Part C? Old=100pF New=560pF
Change Value of Parameter Value in Part C? Old=100pF New=680pF
Change Value of Parameter Value in Part C? Old=100pF New=390pF
Change Value of Parameter Value in Part C? Old=100pF New=820pF
Change Value of Parameter Value in Part C? Old=100pF New=150pF
Change Value of Parameter Value in Part C? Old=100pF New=180pF
